,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,18.0,0.2727272727272727,18.0,0.2727272727272727
1,seq_1,16.0,0.24242424242424243,16.0,0.24242424242424243
2,seq_2,18.0,0.2727272727272727,18.0,0.2727272727272727
3,seq_3,22.0,0.3333333333333333,22.0,0.3333333333333333
4,seq_4,23.0,0.3484848484848485,23.0,0.3484848484848485
5,seq_5,15.0,0.22727272727272727,15.0,0.22727272727272727
6,seq_6,20.0,0.30303030303030304,20.0,0.30303030303030304
7,seq_7,15.0,0.22727272727272727,15.0,0.22727272727272727
8,seq_8,19.0,0.2878787878787879,19.0,0.2878787878787879
9,seq_9,21.0,0.3181818181818182,21.0,0.3181818181818182
10,seq_10,19.0,0.2878787878787879,19.0,0.2878787878787879
11,seq_11,21.0,0.3181818181818182,21.0,0.3181818181818182
12,seq_12,18.0,0.2727272727272727,18.0,0.2727272727272727
13,seq_13,16.0,0.24242424242424243,16.0,0.24242424242424243
14,seq_14,14.0,0.21212121212121213,14.0,0.21212121212121213
15,seq_15,22.0,0.3333333333333333,22.0,0.3333333333333333
16,seq_16,17.0,0.25757575757575757,17.0,0.25757575757575757
17,seq_17,17.0,0.25757575757575757,17.0,0.25757575757575757
18,seq_18,15.0,0.22727272727272727,15.0,0.22727272727272727
19,seq_19,23.0,0.3484848484848485,23.0,0.3484848484848485
20,seq_20,13.0,0.19696969696969696,13.0,0.19696969696969696
21,seq_21,17.0,0.25757575757575757,17.0,0.25757575757575757
22,seq_22,19.0,0.2878787878787879,19.0,0.2878787878787879
23,seq_23,27.0,0.4090909090909091,27.0,0.4090909090909091
24,seq_24,20.0,0.30303030303030304,20.0,0.30303030303030304
25,seq_25,15.0,0.22727272727272727,15.0,0.22727272727272727
26,seq_26,15.0,0.22727272727272727,15.0,0.22727272727272727
27,seq_27,16.0,0.24242424242424243,16.0,0.24242424242424243
28,seq_28,16.0,0.24242424242424243,16.0,0.24242424242424243
29,seq_29,18.0,0.2727272727272727,18.0,0.2727272727272727
30,seq_30,15.0,0.22727272727272727,15.0,0.22727272727272727
31,seq_31,13.0,0.19696969696969696,13.0,0.19696969696969696
32,seq_32,15.0,0.22727272727272727,15.0,0.22727272727272727
33,seq_33,17.0,0.25757575757575757,17.0,0.25757575757575757
34,seq_34,13.0,0.19696969696969696,13.0,0.19696969696969696
35,seq_35,12.0,0.18181818181818182,12.0,0.18181818181818182
36,seq_36,24.0,0.36363636363636365,24.0,0.36363636363636365
37,seq_37,10.0,0.15151515151515152,10.0,0.15151515151515152
38,seq_38,14.0,0.21212121212121213,14.0,0.21212121212121213
39,seq_39,17.0,0.25757575757575757,17.0,0.25757575757575757
40,seq_40,24.0,0.36363636363636365,24.0,0.36363636363636365
41,seq_41,16.0,0.24242424242424243,16.0,0.24242424242424243
42,seq_42,21.0,0.3181818181818182,21.0,0.3181818181818182
43,seq_43,15.0,0.22727272727272727,15.0,0.22727272727272727
44,seq_44,20.0,0.30303030303030304,19.0,0.3064516129032258
45,seq_45,11.0,0.16666666666666666,11.0,0.16666666666666666
46,seq_46,21.0,0.3181818181818182,21.0,0.3181818181818182
47,seq_47,21.0,0.3181818181818182,21.0,0.3181818181818182
48,seq_48,22.0,0.3333333333333333,22.0,0.3333333333333333
49,seq_49,19.0,0.2878787878787879,19.0,0.2878787878787879
50,seq_50,17.0,0.25757575757575757,17.0,0.25757575757575757
51,seq_51,23.0,0.3484848484848485,23.0,0.3484848484848485
52,seq_52,20.0,0.30303030303030304,20.0,0.30303030303030304
53,seq_53,19.0,0.2878787878787879,19.0,0.2878787878787879
54,seq_54,18.0,0.2727272727272727,18.0,0.2727272727272727
55,seq_55,20.0,0.30303030303030304,20.0,0.30303030303030304
56,seq_56,11.0,0.16666666666666666,11.0,0.16666666666666666
57,seq_57,18.0,0.2727272727272727,18.0,0.2727272727272727
58,seq_58,17.0,0.25757575757575757,17.0,0.25757575757575757
59,seq_59,22.0,0.3333333333333333,22.0,0.3333333333333333
60,seq_60,13.0,0.19696969696969696,13.0,0.19696969696969696
61,seq_61,16.0,0.24242424242424243,16.0,0.24242424242424243
62,seq_62,14.0,0.21212121212121213,14.0,0.21212121212121213
63,seq_63,22.0,0.3333333333333333,22.0,0.3333333333333333
64,seq_64,16.0,0.24242424242424243,16.0,0.24242424242424243
65,seq_65,14.0,0.21212121212121213,14.0,0.21212121212121213
66,seq_66,20.0,0.30303030303030304,20.0,0.30303030303030304
67,seq_67,23.0,0.3484848484848485,23.0,0.3484848484848485
68,seq_68,14.0,0.21212121212121213,14.0,0.21212121212121213
69,seq_69,20.0,0.30303030303030304,20.0,0.30303030303030304
70,seq_70,20.0,0.30303030303030304,20.0,0.30303030303030304
71,seq_71,23.0,0.3484848484848485,23.0,0.3484848484848485
72,seq_72,16.0,0.24242424242424243,16.0,0.24242424242424243
73,seq_73,21.0,0.3181818181818182,21.0,0.3181818181818182
74,seq_74,16.0,0.24242424242424243,16.0,0.24242424242424243
75,seq_75,14.0,0.21212121212121213,14.0,0.21212121212121213
76,seq_76,16.0,0.24242424242424243,16.0,0.24242424242424243
77,seq_77,15.0,0.22727272727272727,15.0,0.22727272727272727
78,seq_78,17.0,0.25757575757575757,17.0,0.25757575757575757
79,seq_79,20.0,0.30303030303030304,20.0,0.30303030303030304
80,seq_80,16.0,0.24242424242424243,16.0,0.24242424242424243
81,seq_81,15.0,0.22727272727272727,15.0,0.22727272727272727
82,seq_82,24.0,0.36363636363636365,24.0,0.36363636363636365
83,seq_83,18.0,0.2727272727272727,18.0,0.2727272727272727
84,seq_84,12.0,0.18181818181818182,12.0,0.18181818181818182
85,seq_85,30.0,0.375,30.0,0.375
86,seq_86,18.0,0.2727272727272727,18.0,0.2727272727272727
87,seq_87,13.0,0.19696969696969696,13.0,0.19696969696969696
88,seq_88,14.0,0.21212121212121213,14.0,0.21212121212121213
89,seq_89,19.0,0.2878787878787879,19.0,0.2878787878787879
90,seq_90,19.0,0.2878787878787879,19.0,0.2878787878787879
91,seq_91,12.0,0.18181818181818182,12.0,0.18181818181818182
92,seq_92,13.0,0.19696969696969696,13.0,0.19696969696969696
93,seq_93,22.0,0.3333333333333333,22.0,0.3333333333333333
94,seq_94,13.0,0.19696969696969696,13.0,0.19696969696969696
95,seq_95,13.0,0.19696969696969696,13.0,0.19696969696969696
96,seq_96,17.0,0.25757575757575757,17.0,0.25757575757575757
97,seq_97,13.0,0.19696969696969696,13.0,0.19696969696969696
98,seq_98,18.0,0.2727272727272727,18.0,0.2727272727272727
99,seq_99,15.0,0.22727272727272727,15.0,0.22727272727272727
