,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,34.0,0.5483870967741935,34.0,0.5483870967741935
1,seq_1,36.0,0.5454545454545454,35.0,0.5645161290322581
2,seq_2,29.0,0.4393939393939394,29.0,0.4393939393939394
3,seq_3,29.0,0.4393939393939394,29.0,0.4393939393939394
4,seq_4,28.0,0.45161290322580644,28.0,0.45161290322580644
5,seq_5,27.0,0.4090909090909091,26.0,0.4262295081967213
6,seq_6,35.0,0.5737704918032787,33.0,0.532258064516129
7,seq_7,23.0,0.3709677419354839,23.0,0.3709677419354839
8,seq_8,34.0,0.5483870967741935,33.0,0.532258064516129
9,seq_9,37.0,0.5967741935483871,37.0,0.5967741935483871
10,seq_10,33.0,0.5,33.0,0.5
11,seq_11,36.0,0.5538461538461539,35.0,0.5384615384615384
12,seq_12,28.0,0.45161290322580644,28.0,0.45161290322580644
13,seq_13,28.0,0.45161290322580644,28.0,0.45161290322580644
14,seq_14,28.0,0.4745762711864407,25.0,0.4166666666666667
15,seq_15,27.0,0.4090909090909091,27.0,0.4090909090909091
16,seq_16,31.0,0.5081967213114754,31.0,0.5081967213114754
17,seq_17,28.0,0.45161290322580644,27.0,0.43548387096774194
18,seq_18,29.0,0.46774193548387094,29.0,0.46774193548387094
19,seq_19,31.0,0.5,31.0,0.5
20,seq_20,28.0,0.4666666666666667,26.0,0.4262295081967213
21,seq_21,26.0,0.41935483870967744,26.0,0.41935483870967744
22,seq_22,30.0,0.45454545454545453,30.0,0.45454545454545453
23,seq_23,24.0,0.3870967741935484,24.0,0.3870967741935484
24,seq_24,23.0,0.3709677419354839,23.0,0.3709677419354839
25,seq_25,24.0,0.36363636363636365,24.0,0.36363636363636365
26,seq_26,28.0,0.42424242424242425,28.0,0.42424242424242425
27,seq_27,33.0,0.532258064516129,33.0,0.532258064516129
28,seq_28,27.0,0.43548387096774194,27.0,0.43548387096774194
29,seq_29,32.0,0.5161290322580645,32.0,0.5161290322580645
30,seq_30,31.0,0.4696969696969697,31.0,0.4696969696969697
31,seq_31,29.0,0.46774193548387094,27.0,0.4426229508196721
32,seq_32,31.0,0.5,31.0,0.5
33,seq_33,36.0,0.5454545454545454,36.0,0.5454545454545454
34,seq_34,30.0,0.4838709677419355,30.0,0.4838709677419355
35,seq_35,37.0,0.5967741935483871,36.0,0.6
36,seq_36,35.0,0.5737704918032787,35.0,0.5737704918032787
37,seq_37,30.0,0.4838709677419355,30.0,0.4838709677419355
38,seq_38,33.0,0.5409836065573771,32.0,0.5161290322580645
39,seq_39,27.0,0.45,27.0,0.45
40,seq_40,34.0,0.5151515151515151,32.0,0.5161290322580645
41,seq_41,29.0,0.4393939393939394,29.0,0.4393939393939394
42,seq_42,31.0,0.4696969696969697,31.0,0.4696969696969697
43,seq_43,29.0,0.4393939393939394,29.0,0.4393939393939394
44,seq_44,31.0,0.5,31.0,0.5
45,seq_45,39.0,0.5492957746478874,39.0,0.5492957746478874
46,seq_46,35.0,0.5303030303030303,32.0,0.5423728813559322
47,seq_47,32.0,0.5161290322580645,30.0,0.4918032786885246
48,seq_48,27.0,0.45,27.0,0.45
49,seq_49,32.0,0.5245901639344263,32.0,0.5245901639344263
50,seq_50,33.0,0.5,31.0,0.49206349206349204
51,seq_51,27.0,0.4090909090909091,27.0,0.4090909090909091
52,seq_52,32.0,0.48484848484848486,32.0,0.48484848484848486
53,seq_53,28.0,0.45901639344262296,27.0,0.4426229508196721
54,seq_54,27.0,0.43548387096774194,27.0,0.43548387096774194
55,seq_55,32.0,0.48484848484848486,32.0,0.48484848484848486
56,seq_56,32.0,0.5161290322580645,32.0,0.5161290322580645
57,seq_57,24.0,0.3870967741935484,24.0,0.3870967741935484
58,seq_58,37.0,0.5967741935483871,36.0,0.6
59,seq_59,26.0,0.41935483870967744,24.0,0.39344262295081966
60,seq_60,26.0,0.41935483870967744,26.0,0.41935483870967744
61,seq_61,23.0,0.3709677419354839,23.0,0.3709677419354839
62,seq_62,26.0,0.3939393939393939,26.0,0.3939393939393939
63,seq_63,36.0,0.5806451612903226,36.0,0.5806451612903226
64,seq_64,35.0,0.5072463768115942,35.0,0.5072463768115942
65,seq_65,26.0,0.41935483870967744,25.0,0.4032258064516129
66,seq_66,29.0,0.46774193548387094,28.0,0.45161290322580644
67,seq_67,29.0,0.48333333333333334,28.0,0.45901639344262296
68,seq_68,28.0,0.42424242424242425,28.0,0.42424242424242425
69,seq_69,39.0,0.5909090909090909,38.0,0.6129032258064516
70,seq_70,22.0,0.3333333333333333,22.0,0.3333333333333333
71,seq_71,35.0,0.5833333333333334,35.0,0.5833333333333334
72,seq_72,29.0,0.47540983606557374,29.0,0.47540983606557374
73,seq_73,35.0,0.546875,35.0,0.546875
74,seq_74,31.0,0.4696969696969697,31.0,0.4696969696969697
75,seq_75,29.0,0.4393939393939394,29.0,0.4393939393939394
76,seq_76,33.0,0.5,31.0,0.5166666666666667
77,seq_77,24.0,0.3870967741935484,24.0,0.3870967741935484
78,seq_78,39.0,0.639344262295082,38.0,0.6229508196721312
79,seq_79,32.0,0.48484848484848486,32.0,0.48484848484848486
80,seq_80,32.0,0.5161290322580645,32.0,0.5161290322580645
81,seq_81,27.0,0.4090909090909091,27.0,0.4090909090909091
82,seq_82,30.0,0.45454545454545453,29.0,0.47540983606557374
83,seq_83,33.0,0.532258064516129,33.0,0.532258064516129
84,seq_84,28.0,0.45161290322580644,27.0,0.45
85,seq_85,33.0,0.5409836065573771,32.0,0.5245901639344263
86,seq_86,33.0,0.532258064516129,33.0,0.532258064516129
87,seq_87,27.0,0.43548387096774194,26.0,0.41935483870967744
88,seq_88,33.0,0.532258064516129,31.0,0.5081967213114754
89,seq_89,24.0,0.3870967741935484,24.0,0.3870967741935484
90,seq_90,30.0,0.5,26.0,0.43333333333333335
91,seq_91,33.0,0.5,33.0,0.5
92,seq_92,33.0,0.532258064516129,33.0,0.532258064516129
93,seq_93,22.0,0.3548387096774194,22.0,0.3548387096774194
94,seq_94,29.0,0.4393939393939394,29.0,0.4393939393939394
95,seq_95,32.0,0.5161290322580645,31.0,0.5081967213114754
96,seq_96,28.0,0.45901639344262296,27.0,0.4426229508196721
97,seq_97,36.0,0.5806451612903226,35.0,0.5737704918032787
98,seq_98,30.0,0.4918032786885246,29.0,0.46774193548387094
99,seq_99,32.0,0.5161290322580645,32.0,0.5161290322580645
