,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,13.0,0.2,13.0,0.2
1,seq_1,10.0,0.15384615384615385,10.0,0.15384615384615385
2,seq_2,13.0,0.2,13.0,0.2
3,seq_3,14.0,0.2153846153846154,14.0,0.2153846153846154
4,seq_4,14.0,0.2153846153846154,14.0,0.2153846153846154
5,seq_5,12.0,0.18461538461538463,12.0,0.18461538461538463
6,seq_6,12.0,0.18461538461538463,12.0,0.18461538461538463
7,seq_7,11.0,0.16923076923076924,11.0,0.16923076923076924
8,seq_8,12.0,0.18461538461538463,12.0,0.18461538461538463
9,seq_9,12.0,0.18461538461538463,12.0,0.18461538461538463
10,seq_10,13.0,0.2,13.0,0.2
11,seq_11,16.0,0.24615384615384617,16.0,0.24615384615384617
12,seq_12,11.0,0.16923076923076924,11.0,0.16923076923076924
13,seq_13,11.0,0.16923076923076924,11.0,0.16923076923076924
14,seq_14,14.0,0.2153846153846154,14.0,0.2153846153846154
15,seq_15,17.0,0.2463768115942029,17.0,0.2463768115942029
16,seq_16,13.0,0.2,13.0,0.2
17,seq_17,13.0,0.2,13.0,0.2
18,seq_18,11.0,0.16923076923076924,11.0,0.16923076923076924
19,seq_19,12.0,0.18461538461538463,12.0,0.18461538461538463
20,seq_20,15.0,0.23076923076923078,15.0,0.23076923076923078
21,seq_21,9.0,0.13846153846153847,9.0,0.13846153846153847
22,seq_22,14.0,0.2153846153846154,14.0,0.2153846153846154
23,seq_23,11.0,0.16923076923076924,11.0,0.16923076923076924
24,seq_24,15.0,0.22388059701492538,15.0,0.22388059701492538
25,seq_25,10.0,0.15384615384615385,10.0,0.15384615384615385
26,seq_26,14.0,0.2153846153846154,14.0,0.2153846153846154
27,seq_27,11.0,0.16923076923076924,11.0,0.16923076923076924
28,seq_28,14.0,0.2153846153846154,14.0,0.2153846153846154
29,seq_29,12.0,0.18461538461538463,12.0,0.18461538461538463
30,seq_30,14.0,0.2153846153846154,14.0,0.2153846153846154
31,seq_31,13.0,0.2,13.0,0.2
32,seq_32,12.0,0.18461538461538463,12.0,0.18461538461538463
33,seq_33,12.0,0.18461538461538463,12.0,0.18461538461538463
34,seq_34,13.0,0.2,13.0,0.2
35,seq_35,13.0,0.2,13.0,0.2
36,seq_36,14.0,0.2153846153846154,14.0,0.2153846153846154
37,seq_37,12.0,0.18461538461538463,12.0,0.18461538461538463
38,seq_38,12.0,0.18461538461538463,12.0,0.18461538461538463
39,seq_39,12.0,0.18461538461538463,12.0,0.18461538461538463
40,seq_40,14.0,0.2153846153846154,14.0,0.2153846153846154
41,seq_41,14.0,0.208955223880597,14.0,0.208955223880597
42,seq_42,13.0,0.2,13.0,0.2
43,seq_43,14.0,0.2153846153846154,14.0,0.2153846153846154
44,seq_44,11.0,0.16923076923076924,11.0,0.16923076923076924
45,seq_45,11.0,0.16923076923076924,11.0,0.16923076923076924
46,seq_46,15.0,0.23076923076923078,15.0,0.23076923076923078
47,seq_47,11.0,0.16923076923076924,11.0,0.16923076923076924
48,seq_48,13.0,0.2,13.0,0.2
49,seq_49,12.0,0.18461538461538463,12.0,0.18461538461538463
50,seq_50,11.0,0.16923076923076924,11.0,0.16923076923076924
51,seq_51,10.0,0.15384615384615385,10.0,0.15384615384615385
52,seq_52,12.0,0.18461538461538463,12.0,0.18461538461538463
53,seq_53,14.0,0.208955223880597,14.0,0.208955223880597
54,seq_54,13.0,0.2,13.0,0.2
55,seq_55,11.0,0.16923076923076924,11.0,0.16923076923076924
56,seq_56,10.0,0.15384615384615385,10.0,0.15384615384615385
57,seq_57,12.0,0.18461538461538463,12.0,0.18461538461538463
58,seq_58,11.0,0.16923076923076924,11.0,0.16923076923076924
