,header,min_leven[from=nat],perc_min_leven[from=nat],min_leven[from=all],perc_min_leven[from=all]
0,seq_0,19.0,0.2878787878787879,19.0,0.2878787878787879
1,seq_1,25.0,0.3787878787878788,25.0,0.3787878787878788
2,seq_2,21.0,0.3181818181818182,21.0,0.3181818181818182
3,seq_3,20.0,0.30303030303030304,20.0,0.30303030303030304
4,seq_4,21.0,0.3181818181818182,21.0,0.3181818181818182
5,seq_5,22.0,0.3333333333333333,22.0,0.3333333333333333
6,seq_6,25.0,0.3787878787878788,25.0,0.3787878787878788
7,seq_7,21.0,0.3181818181818182,21.0,0.3181818181818182
8,seq_8,23.0,0.3484848484848485,23.0,0.3484848484848485
9,seq_9,22.0,0.3333333333333333,22.0,0.3333333333333333
10,seq_10,21.0,0.3181818181818182,21.0,0.3181818181818182
11,seq_11,27.0,0.4090909090909091,27.0,0.4090909090909091
12,seq_12,23.0,0.3484848484848485,23.0,0.3484848484848485
13,seq_13,23.0,0.3484848484848485,23.0,0.3484848484848485
14,seq_14,25.0,0.3787878787878788,25.0,0.3787878787878788
15,seq_15,25.0,0.3787878787878788,25.0,0.3787878787878788
16,seq_16,23.0,0.3484848484848485,23.0,0.3484848484848485
17,seq_17,27.0,0.43548387096774194,27.0,0.43548387096774194
18,seq_18,24.0,0.36363636363636365,24.0,0.36363636363636365
19,seq_19,25.0,0.4032258064516129,25.0,0.4032258064516129
20,seq_20,23.0,0.3709677419354839,23.0,0.3709677419354839
21,seq_21,22.0,0.3333333333333333,22.0,0.3333333333333333
22,seq_22,24.0,0.36363636363636365,24.0,0.36363636363636365
23,seq_23,19.0,0.2878787878787879,19.0,0.2878787878787879
24,seq_24,22.0,0.3333333333333333,22.0,0.3333333333333333
25,seq_25,24.0,0.36363636363636365,24.0,0.36363636363636365
26,seq_26,24.0,0.36363636363636365,24.0,0.36363636363636365
27,seq_27,24.0,0.36363636363636365,24.0,0.36363636363636365
28,seq_28,17.0,0.25757575757575757,17.0,0.25757575757575757
29,seq_29,37.0,0.4567901234567901,37.0,0.4567901234567901
30,seq_30,20.0,0.30303030303030304,20.0,0.30303030303030304
31,seq_31,25.0,0.3787878787878788,25.0,0.3787878787878788
32,seq_32,19.0,0.2878787878787879,19.0,0.2878787878787879
33,seq_33,18.0,0.2727272727272727,18.0,0.2727272727272727
34,seq_34,15.0,0.22727272727272727,15.0,0.22727272727272727
35,seq_35,26.0,0.3939393939393939,26.0,0.3939393939393939
36,seq_36,24.0,0.36363636363636365,24.0,0.36363636363636365
37,seq_37,24.0,0.36363636363636365,24.0,0.36363636363636365
38,seq_38,23.0,0.3484848484848485,23.0,0.3484848484848485
39,seq_39,16.0,0.24242424242424243,16.0,0.24242424242424243
40,seq_40,19.0,0.2878787878787879,19.0,0.2878787878787879
41,seq_41,21.0,0.3181818181818182,21.0,0.3181818181818182
42,seq_42,25.0,0.3787878787878788,25.0,0.3787878787878788
43,seq_43,22.0,0.3333333333333333,22.0,0.3333333333333333
44,seq_44,15.0,0.22727272727272727,15.0,0.22727272727272727
45,seq_45,24.0,0.36363636363636365,24.0,0.36363636363636365
46,seq_46,23.0,0.3484848484848485,23.0,0.3484848484848485
47,seq_47,16.0,0.24242424242424243,16.0,0.24242424242424243
48,seq_48,16.0,0.25806451612903225,16.0,0.25806451612903225
49,seq_49,24.0,0.36363636363636365,24.0,0.36363636363636365
50,seq_50,20.0,0.30303030303030304,20.0,0.30303030303030304
51,seq_51,20.0,0.30303030303030304,20.0,0.30303030303030304
52,seq_52,20.0,0.30303030303030304,20.0,0.30303030303030304
53,seq_53,16.0,0.24242424242424243,16.0,0.24242424242424243
54,seq_54,22.0,0.3333333333333333,22.0,0.3333333333333333
55,seq_55,20.0,0.30303030303030304,20.0,0.30303030303030304
56,seq_56,21.0,0.3181818181818182,21.0,0.3181818181818182
57,seq_57,22.0,0.3333333333333333,22.0,0.3333333333333333
58,seq_58,24.0,0.36363636363636365,24.0,0.36363636363636365
59,seq_59,26.0,0.3939393939393939,26.0,0.3939393939393939
60,seq_60,24.0,0.36363636363636365,24.0,0.36363636363636365
61,seq_61,22.0,0.3333333333333333,22.0,0.3333333333333333
62,seq_62,25.0,0.3787878787878788,25.0,0.3787878787878788
63,seq_63,24.0,0.36363636363636365,24.0,0.36363636363636365
64,seq_64,23.0,0.3484848484848485,23.0,0.3484848484848485
65,seq_65,28.0,0.42424242424242425,28.0,0.42424242424242425
66,seq_66,24.0,0.36363636363636365,24.0,0.36363636363636365
67,seq_67,24.0,0.36363636363636365,24.0,0.36363636363636365
68,seq_68,22.0,0.3548387096774194,22.0,0.3548387096774194
69,seq_69,26.0,0.3939393939393939,26.0,0.3939393939393939
70,seq_70,22.0,0.3333333333333333,22.0,0.3333333333333333
71,seq_71,25.0,0.3787878787878788,25.0,0.3787878787878788
72,seq_72,23.0,0.3484848484848485,23.0,0.3484848484848485
73,seq_73,24.0,0.3870967741935484,24.0,0.3870967741935484
74,seq_74,20.0,0.3225806451612903,20.0,0.3225806451612903
75,seq_75,24.0,0.36363636363636365,24.0,0.36363636363636365
76,seq_76,25.0,0.3787878787878788,25.0,0.3787878787878788
77,seq_77,20.0,0.30303030303030304,20.0,0.30303030303030304
78,seq_78,23.0,0.3709677419354839,23.0,0.3709677419354839
79,seq_79,23.0,0.3484848484848485,23.0,0.3484848484848485
80,seq_80,25.0,0.4032258064516129,25.0,0.4032258064516129
81,seq_81,25.0,0.3787878787878788,25.0,0.3787878787878788
82,seq_82,19.0,0.2878787878787879,19.0,0.2878787878787879
83,seq_83,22.0,0.3333333333333333,22.0,0.3333333333333333
84,seq_84,23.0,0.3484848484848485,23.0,0.3484848484848485
85,seq_85,24.0,0.36363636363636365,24.0,0.36363636363636365
86,seq_86,25.0,0.3787878787878788,25.0,0.3787878787878788
87,seq_87,21.0,0.3181818181818182,21.0,0.3181818181818182
88,seq_88,24.0,0.36363636363636365,24.0,0.36363636363636365
89,seq_89,25.0,0.3787878787878788,25.0,0.3787878787878788
90,seq_90,25.0,0.3787878787878788,25.0,0.3787878787878788
91,seq_91,25.0,0.3787878787878788,25.0,0.3787878787878788
92,seq_92,23.0,0.3709677419354839,23.0,0.3709677419354839
93,seq_93,25.0,0.3787878787878788,25.0,0.3787878787878788
94,seq_94,24.0,0.36363636363636365,24.0,0.36363636363636365
95,seq_95,22.0,0.3333333333333333,22.0,0.3333333333333333
96,seq_96,22.0,0.3548387096774194,22.0,0.3548387096774194
